Split,Filename_Removed,Reason
test,GCA_029241515.1_ASM2924151v1_genomic.cleaned.fna,Mash_dist=0.0153 (Train vs Test)
test,GCA_029241535.1_ASM2924153v1_genomic.cleaned.fna,Mash_dist=0.0185 (Train vs Test)
test,GCA_029241565.1_ASM2924156v1_genomic.cleaned.fna,Mash_dist=0.0221 (Train vs Test)
test,GCA_029241595.1_ASM2924159v1_genomic.cleaned.fna,Mash_dist=0.0396 (Train vs Test)
test,GCA_029241605.1_ASM2924160v1_genomic.cleaned.fna,Mash_dist=0.0248 (Train vs Test)
test,GCA_029241675.1_ASM2924167v1_genomic.cleaned.fna,Mash_dist=0.0200 (Train vs Test)
test,GCA_029241685.1_ASM2924168v1_genomic.cleaned.fna,Mash_dist=0.0400 (Train vs Test)
test,GCA_029241715.1_ASM2924171v1_genomic.cleaned.fna,Mash_dist=0.0201 (Train vs Test)
test,GCA_029241725.1_ASM2924172v1_genomic.cleaned.fna,Mash_dist=0.0150 (Train vs Test)
test,GCA_029241755.1_ASM2924175v1_genomic.cleaned.fna,Mash_dist=0.0344 (Train vs Test)
test,GCA_029241775.1_ASM2924177v1_genomic.cleaned.fna,Mash_dist=0.0154 (Train vs Test)
test,GCA_029241785.1_ASM2924178v1_genomic.cleaned.fna,Mash_dist=0.0433 (Train vs Test)
test,GCA_025449385.1_ASM2544938v1_genomic.cleaned.fna,Mash_dist=0.0166 (Train vs Test)
test,GCA_027406465.1_ASM2740646v1_genomic.cleaned.fna,Mash_dist=0.0094 (Train vs Test)
test,GCA_024679225.1_ASM2467922v1_genomic.cleaned.fna,Mash_dist=0.0327 (Train vs Test)
test,GCA_027475765.1_ASM2747576v1_genomic.cleaned.fna,Mash_dist=0.0083 (Train vs Test)
test,GCA_030295235.1_Fsolaris_ONT_v03_genomic.cleaned.fna,Mash_dist=0.0016 (Train vs Test)
test,GCA_023158965.1_ASM2315896v1_genomic.cleaned.fna,Mash_dist=0.0006 (Train vs Test)
test,GCA_025722995.1_ASM2572299v1_genomic.cleaned.fna,Mash_dist=0.0013 (Train vs Test)
test,GCA_029291835.1_ASM2929183v1_genomic.cleaned.fna,Mash_dist=0.0138 (Train vs Test)
test,GCA_029293555.1_ASM2929355v1_genomic.cleaned.fna,Mash_dist=0.0146 (Train vs Test)
test,GCA_029300905.1_ASM2930090v1_genomic.cleaned.fna,Mash_dist=0.0152 (Train vs Test)
test,GCA_029300935.1_ASM2930093v1_genomic.cleaned.fna,Mash_dist=0.0075 (Train vs Test)
test,GCA_029300965.1_ASM2930096v1_genomic.cleaned.fna,Mash_dist=0.0037 (Train vs Test)
test,GCA_029301025.1_ASM2930102v1_genomic.cleaned.fna,Mash_dist=0.0137 (Train vs Test)
test,GCA_029301055.1_ASM2930105v1_genomic.cleaned.fna,Mash_dist=0.0178 (Train vs Test)
test,GCA_029301115.1_ASM2930111v1_genomic.cleaned.fna,Mash_dist=0.0340 (Train vs Test)
test,GCA_029301155.1_ASM2930115v1_genomic.cleaned.fna,Mash_dist=0.0221 (Train vs Test)
test,GCA_029301415.1_ASM2930141v1_genomic.cleaned.fna,Mash_dist=0.0137 (Train vs Test)
test,GCA_029304055.1_ASM2930405v1_genomic.cleaned.fna,Mash_dist=0.0177 (Train vs Test)
test,GCA_029304155.1_ASM2930415v1_genomic.cleaned.fna,Mash_dist=0.0051 (Train vs Test)
test,GCA_029304195.1_ASM2930419v1_genomic.cleaned.fna,Mash_dist=0.0484 (Train vs Test)
test,GCA_029304205.1_ASM2930420v1_genomic.cleaned.fna,Mash_dist=0.0246 (Train vs Test)
test,GCA_029304255.1_ASM2930425v1_genomic.cleaned.fna,Mash_dist=0.0136 (Train vs Test)
test,GCA_024741955.1_ASM2474195v1_genomic.cleaned.fna,Mash_dist=0.0027 (Train vs Test)
test,GCA_027382585.1_Euplotes_woodruffi_MIC_genomic.cleaned.fna,Mash_dist=0.0342 (Val vs Test)
test,GCA_027382605.1_Euplotes_woodruffi_MAC_genomic.cleaned.fna,Mash_dist=0.0226 (Val vs Test)
test,GCA_024679175.1_ASM2467917v1_genomic.cleaned.fna,Mash_dist=0.0232 (Val vs Test)
