Filename,Original Contigs,After Filtering,GC Content (%),Avg Length,Status
GCA_900095555.1_PchAJ_genomic.fna,474,371,23.55,50534.1,KEPT
GCA_900095605.1_PchCB_genomic.fna,444,355,23.52,53073.1,KEPT
GCA_000002765.3_GCA_000002765_genomic.fna,16,16,19.34,1458302.4,KEPT
GCA_001715585.1_ASM171558v1_genomic.fna,15,15,18.62,1550998.1,KEPT
GCA_900090025.2_PowCR01_genomic.fna,779,778,29.04,43057.1,KEPT
GCA_900090035.2_PocGH01_genomic.fna,653,653,28.48,51270.3,KEPT
GCA_018136815.1_ASM1813681v1_genomic.fna,141,141,58.35,657685.9,KEPT
GCA_000410695.2_Leishmania_arabica_LEM1108-1.0.3_genomic.fna,168,162,58.47,192959.0,KEPT
GCA_014466935.1_ASM1446693v1_genomic.fna,36,36,59.53,886804.9,KEPT
GCA_014466975.1_ASM1446697v1_genomic.fna,36,36,59.54,886793.5,KEPT
GCA_900617805.1_PchV52-2_genomic.fna,609,104,23.24,183488.4,KEPT
GCA_900681995.1_PVVCY_v1_genomic.fna,16,16,22.89,1148389.6,KEPT
GCA_000002975.1_ASM297v1_genomic.fna,3,3,26.44,183754.7,KEPT
GCA_903995115.1_Adeanei_nanopore_chromosomes_genomic.fna,29,29,49.85,723313.1,KEPT
GCA_000569095.1_NagaB31_1.0_genomic.fna,684,272,54.04,100414.2,KEPT
GCA_002838785.1_we3730_nuc_genomic.fna,85,85,55.27,363126.4,KEPT
GCA_900005765.1_PRELSG_genomic.fna,514,491,18.31,45947.1,KEPT
GCA_020975765.1_Upin_Kr2015_genomic.fna,2581,2581,50.01,245687.7,KEPT
GCA_002563875.1_Bbes1.0_genomic.fna,186,186,56.97,316375.9,KEPT
GCA_900617815.1_Pvb1-69-2_genomic.fna,1015,161,22.50,121725.9,KEPT
GCA_903994205.1_PVBDA_v1_genomic.fna,16,16,23.11,1200422.9,KEPT
GCA_903994225.1_PVLDE_v1_genomic.fna,16,16,23.25,1208846.7,KEPT
GCA_900617785.1_Pch2CR-2_genomic.fna,720,126,23.41,151497.0,KEPT
GCA_903994235.1_PVPCR_v1_genomic.fna,16,16,23.15,1213154.4,KEPT
GCA_004519485.1_ASM451948v1_genomic.fna,32,32,54.03,914524.6,KEPT
GCA_009014695.1_ASM901469v1_genomic.fna,32,32,53.54,845234.7,KEPT
GCA_009014725.1_ASM901472v1_genomic.fna,32,32,53.61,865833.7,KEPT
GCA_000002445.1_ASM244v1_genomic.fna,12,12,46.43,2172957.8,KEPT
GCA_902825245.1_L2-C3_rDNA_genomic.fna,1,1,40.47,10223.0,KEPT
GCA_000725905.1_ASM72590v1_genomic.fna,158,158,39.48,176059.9,KEPT
GCA_001680005.1_ASM168000v1_genomic.fna,14,14,39.64,1977537.9,KEPT
GCA_000002455.1_ASM245v1_genomic.fna,3,3,28.37,124290.0,KEPT
GCA_002223825.1_C.hominis.v1_genomic.fna,12,12,30.12,755737.6,KEPT
GCA_900617825.1_Pvk194ZZ-2_genomic.fna,533,69,23.19,286152.7,KEPT
GCA_900617835.1_Pyk193L-2_genomic.fna,2432,276,21.66,83115.0,KEPT
GCA_000149405.2_ASM14940v2_genomic.fna,64,59,46.74,545363.1,KEPT
GCA_000165365.1_ASM16536v1_genomic.fna,9,9,34.04,927511.8,KEPT
GCA_000002725.2_ASM272v2_genomic.fna,36,36,59.72,912641.4,KEPT
GCA_916722125.1_LMJFC_annotationDEFINITIVO_genomic.fna,36,36,59.74,911044.8,KEPT
GCA_000497125.2_ASM49712v2_genomic.fna,42,42,33.84,346331.2,KEPT
GCA_000004695.1_dicty_2.7_genomic.fna,39,39,22.42,875242.4,KEPT
GCA_000165345.1_ASM16534v1_genomic.fna,8,8,30.16,1137790.5,KEPT
GCA_000002845.2_ASM284v2_genomic.fna,138,137,57.62,234071.7,KEPT
GCA_000002875.2_ASM287v2_genomic.fna,76,74,59.54,434059.8,KEPT
GCA_000018645.1_ASM1864v1_genomic.fna,3,3,25.22,190624.0,KEPT
GCA_000165395.2_ASM16539v2_genomic.fna,7,7,41.61,1175546.7,KEPT
GCA_000006565.2_TGA4_genomic.fna,2266,1252,52.19,51817.6,KEPT
GCA_000150955.2_ASM15095v2_genomic.fna,88,73,48.36,365736.2,KEPT
GCA_000208865.2_ASM20886v2_genomic.fna,14,14,54.83,4110530.0,KEPT
GCA_003543875.1_ASM354387v1_genomic.fna,18,18,46.23,1499537.6,KEPT
GCA_000698435.2_ASM69843v2_genomic.fna,4,4,32.79,170897.2,KEPT
GCA_001602025.1_ASM160202v1_genomic.fna,833,500,17.83,40356.6,KEPT
GCA_900097045.1_PGABG01_genomic.fna,96,96,18.61,222667.5,KEPT
GCA_000210295.1_ASM21029v1_genomic.fna,11,11,47.09,2013462.5,KEPT
GCA_900240055.1_PGABG02_genomic.fna,44,44,18.50,475777.7,KEPT
GCA_900257145.2_Plasmodium_billcollinsi_genomic.fna,14,13,17.55,1579880.6,KEPT
GCA_000740895.1_ASM74089v1_genomic.fna,6,5,41.60,1797238.2,KEPT
GCA_900095595.1_PPRFG01_genomic.fna,53,53,19.12,471369.7,KEPT
GCA_900097015.1_PADLG01_genomic.fna,82,82,18.63,270618.2,KEPT
GCA_900097035.1_PBLACG01_genomic.fna,97,95,17.98,229879.7,KEPT
GCA_000234665.4_ASM23466v4_genomic.fna,588,505,59.74,63458.4,KEPT
GCA_000321355.1_PcynB_1.0_genomic.fna,1663,1661,39.11,15738.2,KEPT
GCA_000691945.2_ASM69194v2_genomic.fna,9,9,36.16,718525.3,KEPT
GCA_000286095.1_ASM28609v1_genomic.fna,3,3,25.94,234284.0,KEPT
GCA_000444285.2_Leishmania_aethiopica-L147-2.0.3_genomic.fna,160,157,58.85,201438.7,KEPT
GCA_000340355.2_Leishmania_braziliensis_M2903-1.0.6_genomic.fna,744,130,53.55,231339.2,KEPT
GCA_000409445.2_Leishmania_MAR_LEM2494-1.0.3_genomic.fna,251,247,59.15,124581.3,KEPT
GCA_000342415.1_JCVI-bewag-v1.1_genomic.fna,12,12,39.48,972873.2,KEPT
GCA_017916325.1_LU_Lmar_1.0_genomic.fna,42,42,59.85,771754.0,KEPT
GCA_004764655.1_pasteur_ecto_instagraal_genomic.fna,793,698,52.41,278459.8,KEPT
GCA_017916335.1_LU_Lori_1.0_genomic.fna,98,74,59.71,461868.4,KEPT
GCA_017918235.1_LU_Pher_1.0_genomic.fna,74,70,56.02,499363.2,KEPT
GCA_017918225.1_LU_LNam_1.0_genomic.fna,67,62,59.53,550245.8,KEPT
GCA_017918215.1_LU_Lgha_1.0_genomic.fna,116,105,59.67,342339.0,KEPT
